routeId,capacity,deliveriesNumber,routeCreationTimestamp
r-shiinc-240649,3,28,"2020-05-04 22:44:11"
r-shiinc-240650,3,35,"2020-05-04 22:44:11"
r-shiinc-240651,3,26,"2020-05-04 22:44:11"
r-shiinc-240652,3,26,"2020-05-04 22:44:12"
r-shiinc-240653,3,30,"2020-05-04 22:44:14"
r-shiinc-240654,3,31,"2020-05-04 22:50:08"
r-shiinc-240655,3,28,"2020-05-04 22:50:08"
r-shiinc-240656,3,29,"2020-05-04 22:50:09"
r-shiinc-240657,3,28,"2020-05-04 22:50:15"
r-shiinc-240658,5,18,"2020-05-04 22:55:10"
r-shiinc-240659,4,28,"2020-05-04 22:59:18"
r-shiinc-240660,4,34,"2020-05-04 22:59:21"
r-shiinc-240661,4,29,"2020-05-04 22:59:21"
r-shiinc-240662,4,28,"2020-05-04 22:59:22"
r-shiinc-240663,4,27,"2020-05-04 22:59:23"
r-shiinc-240664,4,30,"2020-05-04 22:59:25"
r-shiinc-240665,4,36,"2020-05-04 22:59:25"
r-shiinc-240666,4,33,"2020-05-04 22:59:25"
r-shiinc-240723,3,19,"2020-05-04 23:46:39"
r-shiinc-240724,3,18,"2020-05-04 23:46:41"
r-shiinc-240725,3,19,"2020-05-04 23:46:41"
r-shiinc-240730,3,20,"2020-05-04 23:49:21"
r-shiinc-240731,3,15,"2020-05-04 23:49:21"
r-shiinc-240745,3,18,"2020-05-04 23:53:54"
r-shiinc-240746,3,19,"2020-05-04 23:53:55"
r-shiinc-240757,3,28,"2020-05-04 23:58:15"
r-shiinc-240814,3,27,"2020-05-04 23:59:39"
r-shiinc-240821,3,10,"2020-05-05 00:05:24"
r-shiinc-240822,3,16,"2020-05-05 00:05:24"
r-shiinc-240823,3,19,"2020-05-05 00:05:24"
r-shiinc-240824,5,18,"2020-05-05 00:09:16"
r-shiinc-240826,5,18,"2020-05-05 00:09:18"
r-shiinc-240827,5,17,"2020-05-05 00:09:19"
r-shiinc-240857,5,67,"2020-05-05 00:49:12"
r-shiinc-240858,4,45,"2020-05-05 00:50:23"
r-shiinc-240859,4,51,"2020-05-05 00:51:05"
r-shiinc-240860,4,41,"2020-05-05 00:51:06"
r-shiinc-240861,4,40,"2020-05-05 00:51:08"
r-shiinc-240862,4,37,"2020-05-05 00:51:08"
r-shiinc-240863,4,37,"2020-05-05 00:51:18"
r-shiinc-240864,4,45,"2020-05-05 00:51:33"
r-shiinc-240865,4,48,"2020-05-05 00:51:58"
r-shiinc-240866,4,31,"2020-05-05 00:53:23"
